"Restaurante","Avaliação","Localização","Vendas da Rede","Crescimento Anual (%)","Nº de Filiais","Crescimento Anual Filiais (%)","Vendas Média das Filiais","Ano do Ranking","Franquia"
"MacKenzie River Pizza Co.","Despite its rustic decor, Montanans didn’t quite know what to make of MacKenzie River Pizza Co. when it debuted in 1993, but were quick to embrace decidedly not-down-home pizza toppings such as zucchini, feta and jerk chicken. In 2007, Glacier Restaurant Group, led by former CKE CEO William Foley, bought a number of MacKenzie locations. Glacier’s units now are adopting an expanded menu with burgers, steak and pub food as well as a new name: MacKenzie River Pizza, Grill and Pub.","Whitefish, Mont.",25700000,22.9,19,18.8,1400000,2014,"Yes"
"Bob’s Steak & Chop House","This Dallas institution, that still enforces a business-casual dress code, finally has shaken off its scandalous past, which included a bankruptcy filing and felony theft indictment of founder Bob Sambol. It has since grown, with a high-profile debut at the $268 million Omni Nashville Hotel (Omni owns a 50 percent stake in the brand), selling 6,700 steaks in the first 90 days. Sambol also has rebounded, now helping would-be restaurateurs as a member of the judging panel at incubator Trinity Groves.","Dallas, Texas",30600000,22.4,10,42.9,3600000,2014,"Yes"
"Pita Jungle","Pita Jungle is a full-service restaurant with a menu that blends Middle Eastern classics, such as dolmades and baba ghanoush, with mainstream healthy and vegetarian fare that has a Mediterranean twist. What sets it apart is a creative vibe that attracts both families and millennials. Units are filled with local artwork in step with Pita Jungle’s tagline: “The art of eating healthy.” The chain, started in Arizona by three Arizona State University grads 20 years ago, has recently expanded into California. ","Scottsdale, Ariz.",30600000,22.4,20,17.6,1700000,2014,"Yes"
"Boloco","Burritos accented with Thai, Cajun, Indian and Mexican flavors draw eaters to Boloco. To increase its healthy offerings, the chain recently expanded its line of salads and bowls, adding quinoa and kale. Eco-consciousness is key to the concept’s mission, and most stores are green-certified. They tout reclaimed materials, compostable cups and bowls, recycling programs and humanely raised meat. Millennials are Boloco’s target audience and units often are located near college campuses.","Boston, Mass.",26700000,22.1,23,15,1200000,2014,"Yes"
"Crave","Parent company Kaskaid Hospitality stirred many of today’s hot trends into Crave, including an exhibition kitchen with wood-fired pizza oven, sushi bar and glass-enclosed wine room. The extensive menu also hits several trend buttons, with flatbreads, sliders, sushi rolls and a roster of gluten-free choices. The bulk of business is done in the evening, when some locations boast a DJ or live music. Still, Crave makes an effort to be family-friendly, with units frequently built inside or next to shopping malls and flexible dine-in, takeout and offsite catering options.","Bloomington, Minn.",3e+07,20,9,12.5,3500000,2014,"No"
"Becks Prime","When it launched in 1985, Becks Prime was well ahead of the better-burger boom.  Today, onsite cooks still grind and form the burgers daily and grill them over mesquite coals. Hand-scooped milkshakes, hot dogs, salads and premium chicken sandwiches round out the menu. The chain is cautious about growth, expanding slowly and steadily through Texas. The three founders continue to be involved in day-to-day operations, and a couple of their kids have joined the company. ","Houston, Texas",25700000,19.5,15,15.4,1800000,2014,"No"
"Fadó Irish Pub & Restaurant","Fadó bills itself as “a different kind of Irish pub.” While it has tons of beers and large-screen TVs, it’s as much a gastropub as a sports bar. The decor features authentic handcrafts from Ireland, and interiors vary by location. The menu elevates pub grub with on-trend, made-from-scratch items such as Garden Beets and Hummus Sandwich and Slow Roasted Pork Belly with cider reduction. Cocktails, wine and premium spirits attract a more diverse crowd. ","Atlanta, Ga.",47800000,19.5,14,40,4800000,2014,"No"
"Eddie Merlot’s","This concept, developed by early Subway franchisee and wine aficionado Bill Humphries, sets itself apart from other steakhouses by actively marketing to women; females account for 45 percent of its customers. It courts them by opening up the space with light woods and vibrant colors, setting the table with fine china and offering a value-priced wine list with a by-the-glass selection. The female-friendly menu goes beyond the usual steak and seafood with entrees such as Pecan Crusted Trout and Beef Short Rib Stroganoff. ","Fort Wayne, Ind.",4.3e+07,19.4,9,12.5,4800000,2014,"No"
"Wings Etc. Grill & Pub","Jumbo Buffalo wings are the signature here, but the Etc. part describes baby back ribs, nachos, fried pickle spears, even salads. Wings Etc. bills itself as a family-oriented sports bar and provides a video arcade where the kids can hang out while their parents drink beer and watch a game. The focus on activity continues with a “Wall of Flame” that honors customers who have eaten 16 jumbo wings coated with the chain’s spiciest sauce.","Fort Wayne, Ind.",27200000,17.4,26,18.2,1100000,2014,"Yes"
"Gigi’s Cupcakes","Gigi’s is infused with the personality of Gigi herself, the founder of the concept and a musician-turned-cupcake baker. Her rags-to-riches story is relayed on the website, along with the personal yarns of new franchisees who join the “family.” That spirit of connection, and the fact that 10 daily-changing cupcakes are baked fresh in each store sets Gigi’s apart in the narrow dessert niche.","Franklin, Tenn.",3.5e+07,17.2,95,20.3,4e+05,2014,"Yes"
"Karl Strauss Brewing Company","Craft-beer pioneers Chris Cramer and Matt Rattner opened their first brewpub in 1989. The beer was such a hit that they eventually built a brewery, won a slew of awards for the beers and opened more brewpubs, all in Southern California. Karl Strauss has built a fan following by continuously introducing innovative brews and encouraging guest interaction. In celebration of its 25th anniversary, the company opened a new tasting room and beer garden in San Diego and is launching several barrel-aged beers.","San Diego, Calif.",26900000,17,8,14.3,3600000,2014,"No"
"Zoup! Fresh Soup Company","More than 200 proprietary soups are served at Zoup! on a rotating basis, with a dozen selections daily. The recipes were fine-tuned by the founders, former owners of a spice and soup-mix company. To appeal to every dietary need, these cover the gamut of lowfat, vegetarian, dairy-free and gluten-free varieties. Customers not in a soup mood can opt for SandwichZ and GreenZ (salads), added to diversify the menu two years after the 1997 launch. When franchising began in 2007, Zoup! expanded beyond its Michigan roots.","Southfield, Mich.",39600000,16.5,55,19.6,785000,2014,"Yes"
"Lee’s Sandwiches","Lee’s evolved from a catering truck in the early ’80s to a chain of brick-and-mortar stores built around a menu of traditional Vietnamese banh mi sandwiches. Its several prototypes are adaptable to locations in shopping malls, near office buildings or adjacent to college campuses. The customer base is broad, but younger crowds dominate. Brightly lit menu boards display the lineup in several languages, a nod to the large number of Asian and Hispanic patrons. ","San Jose, Calif.",26200000,16.4,53,15.2,530000,2014,"Yes"
"Tokyo Joe’s","A menu of grilled and steamed dishes, a focus on organic ingredients and Tokyo Joe’s sleek decor are magnets for the customer seeking a more stylish experience at fast-casual prices. The chain started in 1996 when Japanese food was less familiar, but the Americanized name, high-energy ambience and accessible menu attracted mainstream customers. As the concept has evolved, the menu has broadened to include more Pan-Asian dishes while still maintaining a healthy halo.","Centennial, Colo.",25600000,16.4,26,13,1e+06,2014,"Yes"
"Pancheros Mexican Grill","Known for its housemade tortillas, custom burrito-mixing tool and restaurants free of microwaves and freezers, Pancheros spent part of 2013 revamping its menu system. While its Mexican fare remains the same, the simplified menu guides guests through the ordering process with boards to designate entrees, proteins, add-ons, sides and beverages. The chain also continues to build its menu, adding two proprietary hot sauces at all restaurants in March.","Coralville, Iowa",48800000,16.2,65,32.7,855000,2014,"Yes"
"Pluckers Wing Bar","Named one of the nation’s Top 10 Wing Restaurants by USA Today in 2012, Plucker’s has established a near cultlike following for its wings and more than 15 signature sauces. But it’s popular for more than just the food. ESPN named it one of the Top 5 Sports Bars in North America that same year, with each location paying homage to the local neighborhood. To keep actively engaged with its audience, Pluckers runs Facebook contests and giveaways regularly.","Austin, Texas",30200000,16.2,16,14.3,2e+06,2014,"Yes"
"Taco Casa","Taco Casa spent much of 2013 adding new units, bringing its count to more than 60 sites—all in Texas. The chain plans to continue on this growth path, with several others opened in 2014 and even more planned for later this year. Catering to the trend towards freshness, the chain touts its food as “real fresh, real food, real good,” all served at an affordable price point. ","Fort Worth, Texas",31300000,15.9,16,21.2,545000,2014,"Yes"
"Stanford’s Restaurant & Bar","This casual neighborhood concept scores big with young professional looking for a quick lunch as well as with families out for a leisurely dinner. In addition to its popular fire-grilled menu options, the chain appeals to wallet-conscious consumers with happy-hour specials, such as Wine Down Wednesdays, offering half-price bottles weekly.","Seattle, Wash.",34200000,14,10,11.1,3600000,2014,"No"
"Alonti Catering Cafe","Alonti targets locations near urban office and medical buildings, to capture professionals with breakfast, sandwiches, salads and more. It also heavily emphasizes catering, amping up the focus on large orders in recent years. To do this, it woos secretaries, often tasked with placing orders, by touting easy online ordering and in-house “catering coaches.” ","Houston, Texas",35900000,14,42,31.3,970000,2014,"No"
"Grimaldi’s Coal Brick-Oven Pizzeria","True to its name, Grimaldi’s cooks its pizzas and calzones in hand-built, coal-fired brick ovens that are visible to the guests, resulting in a crisp crust. Despite the evolving pizza market, the chain sticks to its no-fuss operating style, upholding its policy of no credit cards, reservations, delivery or slices.","Scottsdale, Ariz.",31900000,13.9,33,13.8,1e+06,2014,"No"
"Roberto’s Taco Shop","Named to The Best of Las Vegas list by the Las Vegas Review-Journal in 2013, 50-year-old Roberto’s has established itself as a leading Mexican chain in southern Nevada and in and around its hometown of San Diego. Stores are open from early morning to late night, with some even serving breakfast, a la carte options and combo plates 24 hours a day. ","San Diego, Calif.",34800000,13.7,63,21.2,605000,2014,"No"
"WaBa Grill","WaBa Grill touts its devotion to healthy cuisine by making diners aware of its use of skinless, fat-trimmed chicken, lightly steamed veggies and other additive-free ingredients. The rice bowls and teriyaki plates are cooked fresh to order using no oil, resulting in a low-fat entree that’s still ready in what WaBa calls “on the go” speed. The chain also has announced ambitious expansion goals.","City of Industry, Calif.",45800000,13.6,53,20.5,945000,2014,"Yes"
"Iron Hill Brewery & Restaurant","Developed by two home brewers, this chain of brewpubs stands out for its craft beers and a chef-driven, fresh-from-scratch menu to go along with them. Individual locations pump up the local crowd with beer release parties for site-specific brews, as well as with beer-inspired dinners and brunches. Iron Hill caters specifically to its East Coast community by running its own charitable foundation and fundraising programs.","Wilmington, Del.",26700000,13.6,10,11.1,2800000,2014,"No"
"East Coast Wings & Grill","In an effort to appeal to families, East Coast Wings differentiates itself from other wing concepts by de-emphasizing alcohol, devoting a majority of the menu and advertising materials to food, as well as telling potential franchisees that “bar service exists only to complement the food.” While most locations are full service, East Coast recently rolled out a limited-service prototype, offering takeout in a smaller footprint. For all stores, the wing chain released a mobile app this past March to ease the takeout process. Now guests can place their orders from their smartphones and bypass the line entirely. ","Winston-Salem, N.C.",32600000,12.4,27,17.4,1300000,2014,"Yes"
"Roosters","There are burgers, subs and  pizza—and, of course, there are the signature jumbo chicken wings. The varied menu and come-as-you-are attitude appeals to families and adults-only groups alike. But Roosters doesn’t limit itself to traditional; it serves at local Ohio sporting events from its Roosters Roadshow truck and has concessions at Ohio State University’s basketball stadium. To cut costs and preserve profits, most storefronts are developed from defunct restaurants instead of being built new, and members of the management team work from their homes.","Dublin, Ohio",41300000,11.6,31,10.7,1400000,2014,"Yes"
"Crumbs Bake Shop","This shop helped launch the cupcake craze in the U.S. with its more than 50 varieties of fresh-baked, gourmet cupcakes. While it fared well in this ranking based on 2013 sales, Crumbs is not off to a bright start in 2014. A filing with the SEC in May noted that auditors have doubts about its ability to continue growing. In fact, it’s gone down in size, reporting 58 locations in the filing, a dip from 65 in March of this year.","New York City, N.Y.",4.8e+07,11.6,78,32.2,701000,2014,"No"
"Pieology Pizzeria","Walk into any Pieology, and in place of wallpaper or posters, you’ll be greeted by a giant “quote board” filled with inspiring sayings. Many of the more than 500 phrases encouraging happiness, smiling and respect for others were chosen by the wife of Pieology’s CEO Carl Chang to exemplify what guests will experience at the “better pizza” chain.","Rancho Santa Margarita, Calif.",44600000,230.4,42,180,1600000,2015,"Yes"
"Blaze Pizza","In the fast-growing, build-your-own pizza category, three-year-old Blaze claims to be the most ambitious, adding delivery and boasting that it has the most locations open, the most in the pipeline, low opening and operating costs and AUVs higher than pre-IPO Chipotle. Right up there with its made-from-scratch dough and “clean ingredients” messaging is its 180-seconds service promise. It foresees 2,000 units in the U.S. with some high-profile backers, including Lebron James, Maria Shriver and basketball-star-turned-Power-20-franchisee Junior Bridgeman. ","Pasadena, Calif.",3.3e+07,230,50,400,1500000,2015,"Yes"
"Smallcakes A Cupcakery","Apparently this ambitious bakery chain, with sights on international growth, didn’t get the memo that cupcakes are out. Appearances on the Food Network, a new cookbook and a gig catering the MTV Video Music Awards has helped keep it in the spotlight. To sweeten the franchising pot, Smallcakes began co-branding units in September 2014 with its new Smallcakes Creamery concept that serves small-batch ice cream made daily; 15 such co-branded units are on tap for 2015. ","Overland Park, Kan.",38700000,133.1,88,114.6,6e+05,2015,"Yes"
" Nékter Juice Bar","Steve and Alexis Schulze, the husband and wife team behind Nékter, are aiming to “save the world” from sugary juice and coffee. Their menu, which started with cold-pressed juices and smoothies made with fruits and veggies has grown in the five years since Nékter was founded to include acai bowls, salads and snacks. Online ordering, an in-app rewards program and a line of bottled cleanse drinks are designed to make its products a part of its hardcore, health-minded customers’ daily lives.","Santa Ana, Calif.",26800000,119.7,46,100,775000,2015,"Yes"
"MOD Pizza","The third DIY pizza concept in the Top 5 currently is the smallest, but quickly is catching up with an explosive growth plan. Founded in 2008 by the owners of Seattle Coffee Company, Mod was the first of the bunch to offer customized pies baked in 800-degree ovens in less than three minutes. Though it only opened its first unit outside of Washington in 2013, it has plans—and $70 million in financing—to open 100 more by the end of the year. The founders count several Starbucks alum among their executive “MOD Squad” and advisory board.","Bellevue, Wash.",2.7e+07,107.7,31,121.4,1200000,2015,"Yes"
"Salata","Billing itself as “the next-generation salad bar,” Salata, which means salad in Latin, is hoping for longevity in a category that has seen similar concepts wither and die. Founder Berge Simonian is doing his homework to avoid a similar fate—calling his Chicago-area debut last fall “an experiment” to see how Salata “could do in a northern environment,” as he told Crain’s Chicago Business. It’s typical behavior for Simonian, who spent a year researching the formulas for Salata’s 10 proprietary dressings, all sold bottled in-store.",NA,33300000,89.2,41,51.9,812000,2015,"Yes"
" Rock & Brews","Though best known as the concept co-founded by Kiss frontmen Gene Simmons and Paul Stanley, this rock-and-roll-theme casual-dining chain goes out of its way to convey a family-friendly (and dog-friendly) concert environment. Patios and kids’ play areas invite guests to hang out. As expected, rock memorabilia defines the decor and a retail section sells branded merchandise. Looking to extend its “world tour” through franchising, the three-year-old brand named a restaurant-development veteran as its first CEO in November.","El Segundo, Calif.",32100000,52.9,7,40,5300000,2015,"Yes"
"Nando’s Peri-Peri","The chicken chain with South African roots first landed in the U.S. in 2008 and has since grown its footprint, with Chicago being its most recent new market. In the last year, the chain more than doubled its sales, besting its fast-casual chicken competition that saw sales grow anywhere from 20 percent (Raising Cane’s) to less than one percent (Boston Market). Unlike others in the category, its chicken has an authentic, ethnic flair with a spicy kick, thanks to the Portuguese peri-peri sauce made from bird’s-eye chilies.","Washington, D.C.",32600000,52.5,20,33.3,1900000,2015,"No"
"Paul Martin’s American Grill","Think Cheesecake Factory meets Seasons 52. Locations of this casual chain from Paul Fleming (middle name: Martin), co-founder of P.F. Chang’s and Fleming’s Prime Steakhouse & Wine Bar, are housed in large, freestanding stores, often in malls. They boast “accessible prices” (average check is $30.60), quality ingredients and a large wine collection on display. The brand has trademarked “Seasonal and Delicious” as its tagline and sports artisanal,  housemade and natural as menu buzzwords.","Newport Beach, Calif.",34500000,45.9,8,33.3,5e+06,2015,"Yes"
"Bagger Dave’s Burger Tavern","In the competitive, casual burger market, Bagger Dave’s makes the ordering process interactive. Patrons are given a paper to mark off their choices from a list of proteins, buns, cheeses, sauces, premium toppings and “meaningless toppings” (from ketchup to black-bean chili) to build their own burger. The make-your-own theme extends to the beer list where guests can select four brews for a craft-beer flight. Adult shakes and bourbons are other boozy options. To add entertainment, electric trains run through each restaurant.","Southfield, Mich.",2.7e+07,44.9,24,26.3,1300000,2015,"No"
"Lemonade","Its name is deceiving—Lemonade is much more than a place for consumers to quench their thirst. It’s a hip cafeteria with an international menu and designer dishware that reflect Los Angeles’s diverse neighborhoods. Billing itself as a healthy fast casual, Lemonade’s “seasonal Southern California comfort food” menu offers more than the usual kale salads and wraps. It has braises, chili, sandwiches, salads and, of course, seven lemonade choices to wash it all down. Average check is $11.50. The chain’s growth currently is limited to California.",NA,3.6e+07,40.6,16,23.1,2500000,2015,"No"
"Bareburger","Clean labels are the name of the game for this Queens-born chain. Its customizable burgers (including elk, bison, vegetarian options and more), sandwiches and salads boast organic, antibiotic- and GMO-free ingredients. Mostly located in neighborhoods, interiors are made with reclaimed materials. Bareburger avoids a preachy tone, however, describing its “Chief Bear,” CEO Euripides Pelekano, as enjoying “happy people, success stories and long walks on the beach.” Bareburger is expected to launch Burnside, a fried-chicken-and-biscuit concept in Queens this month.","Astoria, N.Y.",46500000,39.2,21,23.5,2500000,2015,"Yes"
"The Original Brooklyn Water Bagel Co.","The in-store water-purification system is a focus at each location. Housed in a glass-enclosed room, it claims to process water (for cooking and bottled for sale) that replicates the water that flows “through the Catskill Mountains … into the homes of Brooklyn residents.” A new prototype takes the message outside with a water tower atop the store. It also marks the debut of dinner, a line of healthier dishes and a “coffee wall” with self-serve taps.","Delray Beach, Fla.",42100000,38,25,31.6,1900000,2015,"Yes"
"Torchy’s Tacos","A fast casual with roots as a trailer dragged by a Vespa scooter, this contemporary chain asserts that it’s serving “damn good tacos”—both traditional and breakfast tacos—along with “award-winning” salsa and margaritas, in select locations. While it’s solely in Texas, Torchy’s announced that it plans to open its first out-of-state spot in Denver this fall. It’s appeal? It’s hitting on trends: using responsibly sourced ingredients that are regional when possible and eco-friendly packaging, especially for to-go meals.","Austin, Texas",2.5e+07,37.4,26,23.8,1100000,2015,"No"
"Billy Sims Barbecue","Former Heisman Trophy winner and NFL Rookie of the Year Billy Sims, along with partner Jeff Jackson, got into the regional barbecue game to sling Oklahoma-style ’cue. Ten years later, the football-themed quick-service concept has expanded into six states, including two nontraditional units in sports stadiums that opened in 2014. Focused on serving authentic cuisine—a selling point among millennial diners today—it claims to be among the top-rated athlete-owned restaurants.","Tulsa, Okla.",3.1e+07,37.2,44,18.9,765000,2015,"Yes"
" Native Foods Café","The vegan fast casual set its sights on growth in the last year, almost doubling in size and expanding into new markets. And it plans to continue at a fast clip: included in the announcement of a new CEO in February, Native Foods said it plans to have 200 stores within four years. But it’s not just focused on growing the unit count. The chef-driven concept expanded catering to all sites at the beginning of the year and launched a cookbook to get its name out in new markets.",NA,4.5e+07,35.5,25,47.1,2100000,2015,"No"
" Taziki’s Mediterranean Cafe","When founder Keith Richards took a family trip to Greece, he brought back the idea for the now-burgeoning chain that boasts the healthfulness of the Mediterranean diet. To promote its better-for-you message, Taziki’s takes to social media with transparent posts such as “We have over 100 items made fresh daily!” and “No freezers, fryers, or microwaves.” It’s also building its following through nontraditional marketing by participating in local festivals, events and dine-arounds in its different markets, largely focused in the South.","Birmingham, Ala.",48600000,34.6,36,16.1,1500000,2015,"Yes"
" Eureka!","Eureka! is all about local—local produce, local beers and even local music. Self-described as “the enlightening burger experience,” the casual-dining spot offers all-American options such as chicken wings, flat-iron steak and corn-dog lollipops, with a focus on handmade dishes. Entertainment also is a focus, with a house-curated playlist, televised sports and live music. While growth is concentrated in the San Francisco Bay area, the chain also has moved into Texas and Washington.","Hawthorne, Calif.",30600000,34.2,14,27.3,2500000,2015,"No"
"Veggie Grill","Veggie Grill uses only plant-based ingredients on its menu, but the global flavors, seasonal ingredients and chef-inspired dishes draw meat eaters as well as vegetarians. The company’s goal is to double sales every 18 to 24 months and make it a top choice among health-conscious diners. In the last five years, its compound annual growth rate was 43.1 percent.","Santa Monica, Calif.",35400000,33.1,26,18.2,1500000,2015,"No"
"Freshii","The health-focused fast casual is in the middle of a growth spurt; it announced in late November that it plans to open 160 franchised units in 2015. But it’s not just resting on expansion to build business. The chain continues to update its menu to stay on top of trends, adding a line of nutrient-dense juices in January and starting a test of frozen kefir at select units in late March, all in line with its goal of serving energizing meals and snacks to on-the-go diners.",NA,41800000,32.3,52,23.8,890000,2015,"Yes"
"Sandella’s Flatbread Café","Originally started in 1994 as an upscale coffee and sandwich shop, the fast-casual bakery-cafe is competing in the better-sandwich market, which is on an upswing right now. Appealing to the health-conscious crowd, the chain is transparent with its menu of wraps, panini, quesadillas and salads, even listing the exact four ingredients in its signature brick-oven flatbread on its website. ","West Redding, Conn.",32300000,31.8,107,17.6,301000,2015,"Yes"
"Barcelona Wine Bar & Restaurant","The chef at each upscale-casual unit creates about a third of the menu. But it’s not just the Spanish tapas that differ. Each location has a unique design to give it a more independent vibe. To add to sales, as well as reach beyond its East Coast home-base, Barcelona added an online store in December for olive oil, paella kits and more.","South Norwalk, Conn.",43800000,29.6,10,11.1,4600000,2015,"No"
"Rusty Bucket Restaurant and Tavern","A sister company of multiconcept operator Cameron Mitchell Restaurants, this tavern-style chain has expansion on its mind. “While we have grown steadily since our founding in 2002, the upcoming year represents our most aggressive growth strategy to date,” said president and founder Gary Callicoat in a release in February. Instead of large cities, it has pegged smaller markets in Ohio and Michigan for its growth. ","Columbus, Ohio",43600000,29.4,17,13.3,2800000,2015,"No"
"Yogen Früz","While the frozen-yogurt boom may be on the same market-saturation path as cupcakes, this international chain’s positioning as a nutritious alternative to traditional frozen sweets has helped it continue to grow. To set itself apart, it promotes probiotic-packed treats. And it also touts “profitable and responsible growth” as one of the business’s key values. With real estate a growing problem in the industry, its small footprint and limited seating make mall spots and other nontraditional locations realistic ventures.","Scottsdale, Ariz.",27400000,28.6,117,30,265000,2015,"Yes"
"Paris Baguette","The bakery-cafe chain first entered the U.S. market by way of Los Angeles in 2005 and has spent the past decade growing in California and on the East Coast. Its Facebook page reads like a map pinpointing its development in urban areas. What sets Paris Baguette apart is its glass display cases filled with a range of pastries and desserts and its array of salads and sandwiches in grab-and-go boxes for diners who don’t have time to wait for an order to be prepared.","Moonachie, N.J.",29400000,27.3,38,18.8,840000,2015,"Yes"
"Bob’s Steak & Chop House","Even with a sordid past of bankruptcy and scandal, this high-end steakhouse chain has managed to grow. A Dallas institution, it is withstanding the shift towards more casual restaurants and still enforcing its business-casual dress code in an upscale environment. The brand not only continues to grow in size, but it’s winning over fans. At one of its newer locations in the Omni Nashville Hotel (Omni owns a 50 percent stake in the chain), it was named a 2015 Diners’ Choice Winner by OpenTable.","Plano, Texas",38400000,25.5,11,10,3700000,2015,"Yes"
"Little Sheep Mongolian Hot Pot","The interactive Mongolian-born chain where diners cook their food tableside in steaming pots of broth is being blamed, at least partially, for majority stakeholder Yum Brand’s loss in 2014, announced in February. The chain, purchased by the fast-food powerhouse in 2012 as part of its expansion to China, is said to have shrinking value in its homeland. Yet Yum, while admittedly disappointed with  Little Sheep’s performance abroad, still is expanding the chain stateside via franchisees. ","City of Industry, Calif.",35400000,22.1,16,33.3,2500000,2015,"Yes"
"Wings Etc. Grill & Pub","As its name suggests, the family-friendly sports bar takes pride in its jumbo Buffalo wings, available with 18 sauces. Its “Wall of Flame” hot-wings challenge is a signature, recognizing customers who have eaten 16 wings tossed in its spiciest sauce. But it’s not just about the wings. The chain serves up traditional American fare, including ribs, burgers, wraps and fried shrimp. To draw customers in the door, Wings Etc. offers daily food and drink specials, a lunch menu and an interactive video arcade to entertain kids.","Fort Wayne, Ind.",32900000,21,32,23.1,1100000,2015,"Yes"
"Toppers Pizza","Located near college towns, the quick-service pizza chain targets younger consumers, especially millennials, in its marketing, reliance on social media and eclectic menu items such as mac-and-cheese pizza. To compete with national brands such as Pizza Hut and Domino’s that have made big investments in tech, Toppers plans to roll out a new ordering system this year—especially as online ordering becomes increasingly popular among its consumers. While the chain doesn’t have an app yet, it’s in the works. But the first goal is to create a site that’s responsive to various mobile devices.","Whitewater, Wis.",48800000,20.3,67,31.4,829000,2015,"Yes"
"North Italia","The contemporary Italian chain from multiconcept operator Fox Restaurant Concepts prides itself on handmade pasta and pizza, the cornerstone of its menu. The second-largest chain in the FRC portfolio crafts a large portion of its menu daily, then serves it up in a sleek setting, typically in high-traffic areas. While Arizona is North Italia’s home state—and where the majority of its units are located—it’s now growing in other areas of the West, including its second Texas spot that opened in February and its first California location, set to open this summer.",NA,30500000,20.1,7,16.7,4700000,2015,"No"
"Marlow’s Tavern","This suburban chain is known for putting a cheffy twist on American classics on a seasonally inspired menu that includes center-cut filet and crispy snapper. Still, it bills itself as a modern, casual tavern. Its partners—with more than 130 collective years of chain experience with operations such as Darden, Boston Market and TGI Fridays—are keying into long-standing dining trends, working open kitchens, communal tables and outdoor seating into the design.","Atlanta, Ga.",48500000,18.3,15,15.4,3500000,2015,"No"
"Dinosaur Bar-B-Que","In November, the barbecue chain with a biker-bar-meets-honky-tonk atmosphere formed a back-office partnership with Alabama-based Jim ’N Nick’s Community Bar-B-Q. It’s a deal the chains say won’t change either brand but will help strengthen purchasing power and lower labor and other employee-related costs. With that newfound strength, Dinosaur has its eye on expansion into new markets; it opened its first Chicago spot a few months ago and plans to launch its 10th restaurant this summer in Baltimore. For site selection, the chain targets buildings with history that also can serve as stages for live music on the weekends. Lunch delivery began in February.","Syracuse, N.Y.",27200000,18.3,8,14.3,3600000,2015,"No"
"Tokyo Joe’s","No deep frying, no MSG, no greasy wok cooking; Tokyo Joe’s built its brand around grilled and steamed Japanese dishes made with natural proteins, wild seafood and organic product, when possible. The goal: Deliver fresh and balanced foods at fast-casual speed and prices. As more Asian-inspired concepts enter the segment, Tokyo Joe’s has managed to maintain its hold by broadening its menu to include more pan-Asian dishes. While the majority of its units are in Colorado, it pushed into Arizona last year with plans to enter Texas later this spring. ","Centennial, Colo.",30100000,17.6,30,15.4,1100000,2015,"Yes"
"Taco Casa","Boasting that it’s “still the same since 1972,” the quick-service chain maintains its positioning of freshness, serving classic Mexican dishes such as tacos and burritos, typically for under $3. Taco Casa spent much of the last year growing its brand to nearly 80 units to date, all in Texas. And growth doesn’t look to be slowing; it’s got three more sites set to open in The Lone Star State in the near future.","Fort Worth, Texas",36600000,16.9,70,11.1,550000,2015,"Yes"
"Zoup! Fresh Soup Company","As its name suggests, Zoup! offers a rotating roster of 200 proprietary soups. But to keep up in the competitive fast-casual segment, the menu has expanded to include salads and sandwiches. Ahead of the broth trend the chain in 2013 started selling veggie and chicken broth at retail for consumers to use in their own recipes. Zoup! launched in 1998 and has gradually expanded beyond its Michigan roots, most recently opening a store in Columbus, Ohio in March.","Southfield, Mich.",46300000,16.9,63,14.5,785000,2015,"Yes"
"Barberitos","This build-your-own fast casual’s growth has been concentrated in the Southeast (close to its home-base) with a menu that skews to the Southwest. Barberitos is competing in the same space as larger players such as Qdoba, Chipotle and Moe’s Southwest Grill, offering scratch-made items such as burritos, quesadillas, fajitas and bowls. Featured proteins include chicken, grass-fed beef, ground turkey and organic tofu.","Athens, Ga.",27900000,16.7,39,11.4,755000,2015,"Yes"
"East Coast Wings & Grill","Launched as a casual-dining concept along the lines of Buffalo Wild Wings, East Coast Wings & Grill more recently introduced a smaller prototype designed for the limited-service segment. Wings are the focus, but the menu also includes entree salads, sandwiches and chili. While some locations have bars, the chain positions itself as a family-friendly destination. The brand has experienced 11 consecutive years of positive same-store sales growth through 2014.","Winston-Salem, N.C.",3.8e+07,16.6,32,18.5,1500000,2015,"Yes"
"Ono Hawaiian BBQ","Hawaiian concepts are rare on the mainland, which makes Ono stand out in the fast-casual crowd. The menu features a fusion of Asian cuisines with some American touches. Customers gravitate toward the popular $10 plate lunch, a Hawaiian specialty that features barbecued chicken, beef or seafood with rice and macaroni salad over steamed cabbage. Other island dishes also are offered as both family meals and single entrees. So far, Ono’s locations have been limited to California and Arizona.","Diamond Bar, Calif.",30800000,16.2,53,20.5,635000,2015,"No"
"American Deli","Despite its name, the eclectic menu here includes much more than just sandwiches. Buffalo wings, fried rice, gyros and burgers also are on offer. Most of the locations are near shopping malls and office complexes built as both freestanding and inline units, but the quick-service chain also operates smaller-footprint kiosks in food courts. The first restaurant opened in 1989; American Deli has been growing slowly but steadily throughout the Southeast and Texas for 25 years.","Riverdale, Ga.",48800000,15.4,96,15.7,545000,2015,"Yes"
